,minaddress,maxaddress,minyear,maxyear,minweek,maxweek,minweekday,maxweekday,mintime,maxtime,tuple_count,cluster_label,consumption diversity,PID diversity,consumption_range,consumption_difference,consumption_difference_wo_zero,proximity_ratio,proximity_ratio_wo_zero,address_range,year_range,week_range,weekday_range,time_range,il_address,il_year,il_week,il_weekday,il_time
0,10551100546,10552110375,2011,2011,1,1,5,5,7,14,132,0,37,58,1040.36585365854,7.941724073729312,26.81066040989586,0.49965564738292023,0.09615384615384615,1009829,0,0,0,7,0.12606263202927545,0,0.0,0.0,0.07368421052631578
1,10551100546,10552110437,2011,2011,1,1,3,3,68,72,98,1,32,56,2069.75609756098,21.337691727432784,65.52760885792064,0.46199500208246574,0.13920454545454544,1009891,0,0,0,4,0.12607037183788247,0,0.0,0.0,0.042105263157894736
2,10551100546,10552110437,2011,2011,2,2,4,4,46,53,110,2,30,52,2020.85365853659,18.539941821436603,68.43754014174917,0.5306611570247931,0.1086021505376344,1009891,0,0,0,7,0.12607037183788247,0,0.0,0.0,0.07368421052631578
3,10551100546,10552110865,2011,2011,1,1,1,1,74,81,156,3,52,63,2338.90243902439,15.089693154996064,44.37109784334272,0.4448142669296516,0.11146051712089446,1010319,0,0,0,7,0.12612380148439542,0,0.0,0.0,0.07368421052631578
4,10551100546,10552110865,2011,2011,1,1,1,1,88,95,147,4,46,58,1199.0243902439,8.212495823588355,26.811211058294774,0.4840575686056735,0.07632850241545892,1010319,0,0,0,7,0.12612380148439542,0,0.0,0.0,0.07368421052631578
5,10551100546,10552110865,2011,2011,1,1,2,2,44,49,110,5,30,61,2314.39024390244,21.232938017453574,81.48821662607455,0.5414049586776859,0.08160919540229884,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
6,10551100546,10552110865,2011,2011,1,1,3,3,63,68,90,6,27,51,545.86129753915,6.133273006057865,20.503348222636234,0.5076543209876543,0.11396011396011398,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
7,10551100546,10552110865,2011,2011,1,1,4,4,30,34,92,7,29,50,2314.39024390244,25.432859823103737,82.66643148994348,0.4834593572778828,0.07389162561576354,1010319,0,0,0,4,0.12612380148439542,0,0.0,0.0,0.042105263157894736
8,10551100546,10552110865,2011,2011,1,1,5,5,66,70,103,8,37,55,2424.51219512195,23.76972740315637,68.35284086715684,0.43001225374681895,0.10510510510510508,1010319,0,0,0,4,0.12612380148439542,0,0.0,0.0,0.042105263157894736
9,10551100546,10552110865,2011,2011,1,1,5,5,90,95,95,9,28,52,1040.36585365854,11.067721847431276,37.547721334147504,0.5164542936288089,0.1388888888888889,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
10,10551100546,10552110865,2011,2011,1,1,6,6,69,74,111,10,39,55,2436.70731707317,22.151884700665182,61.736839200971176,0.4185536888239589,0.11402439024390243,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
11,10551100546,10552110865,2011,2011,1,1,7,7,61,66,126,11,41,58,2130.9756097561,17.047804878048797,50.43002788698633,0.43890148652053423,0.08562367864693445,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
12,10551100546,10552110865,2011,2011,1,1,7,7,78,84,116,12,34,59,2143.17073170732,18.636267232237564,62.18235716094194,0.48877824019024974,0.07698412698412696,1010319,0,0,0,6,0.12612380148439542,0,0.0,0.0,0.06315789473684211
13,10551100546,10552110865,2011,2011,2,2,1,1,0,5,83,13,22,50,1052.56097560976,12.836109458655608,46.88898323309793,0.5201045144433154,0.07789855072463768,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
14,10551100546,10552110865,2011,2011,2,2,1,1,16,21,115,14,34,59,1015.9756097561,8.91206675224649,30.150674705287713,0.4965595463137995,0.07310924369747898,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
15,10551100546,10552110865,2011,2011,2,2,2,2,17,22,102,15,34,56,1015.9756097561,10.059164453030695,31.09288328982796,0.45905420991926177,0.0748663101604278,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
16,10551100546,10552110865,2011,2011,2,2,3,3,0,5,94,16,36,60,460.233297985154,4.948745139625312,12.91852804422202,0.3993888637392486,0.08492063492063491,1010319,0,0,0,5,0.12612380148439542,0,0.0,0.0,0.05263157894736842
