consumption,pid,address,year,week,weekday,time
0.0,18,10555106251,2011,2,4,46
0.0,102,10552108635,2011,2,4,46
0.0,351,10552106141,2011,2,4,46
0.0,24,10552110023,2011,2,4,46
761.178247734139,317,10555107410,2011,2,4,46
0.0,366,10552100277,2011,2,4,46
90.6721763085399,237,10559102440,2011,2,4,46
0.0,45,10555106143,2011,2,4,46
447.842708902239,193,10557111060,2011,2,4,46
965.986394557823,207,10554110965,2011,2,4,46
0.0,186,10558110116,2011,2,4,46
235.974212034384,262,10555108229,2011,2,4,46
213.509127789047,259,10553108511,2011,2,4,46
0.0,165,10553101212,2011,2,4,46
81.2380952380952,249,10557105611,2011,2,4,46
0.0,145,10555104935,2011,2,4,46
26625.0,196,10557105880,2011,2,4,46
0.0,350,10557107472,2011,2,4,46
574.725,238,10557109233,2011,2,4,46
0.0,22,10553105318,2011,2,4,46
36.164994425864,188,10551103645,2011,2,4,46
513.255567338282,162,10551109558,2011,2,4,46
0.0,28,10552101835,2011,2,4,46
1238.02163833076,229,10553108625,2011,2,4,46
0.0,358,10559107837,2011,2,4,46
0.0,78,10551102415,2011,2,4,46
0.0,99,10552108957,2011,2,4,46
291.707953063885,313,10552103227,2011,2,4,46
0.0,160,10552102080,2011,2,4,46
0.0,152,10552105073,2011,2,4,46
0.0,137,10555100913,2011,2,4,46
201.542750929368,257,10554102135,2011,2,4,46
0.0,48,10553100954,2011,2,4,46
218.529076396807,265,10559103733,2011,2,4,46
161.427444794953,258,10554110139,2011,2,4,46
0.0,87,10554109530,2011,2,4,46
47.9481268011527,169,10556103971,2011,2,4,46
1761.81474480151,218,10559102023,2011,2,4,46
2852.43902439024,323,10552100341,2011,2,4,46
0.0,149,10554109757,2011,2,4,46
0.0,339,10551105523,2011,2,4,46
0.0,348,10555103512,2011,2,4,46
0.0,360,10556108977,2011,2,4,46
337.208588957055,252,10554102256,2011,2,4,46
0.0,23,10558102680,2011,2,4,46
0.0,147,10559104171,2011,2,4,46
0.0,127,10556100954,2011,2,4,46
0.0,79,10557110366,2011,2,4,46
0.0,43,10559109962,2011,2,4,46
0.0,9,10551104013,2011,2,4,46
0.0,129,10558108772,2011,2,4,46
130.306577480491,320,10552101064,2011,2,4,46
0.0,343,10554111075,2011,2,4,46
0.0,361,10558106876,2011,2,4,46
127.733627667403,278,10554107513,2011,2,4,46
221.474285714286,260,10553110578,2011,2,4,46
1740.21978021978,166,10554100026,2011,2,4,46
0.0,100,10551104258,2011,2,4,46
0.0,146,10557106971,2011,2,4,46
0.0,93,10555100576,2011,2,4,46
0.0,150,10553105426,2011,2,4,46
370.884086444008,268,10558102927,2011,2,4,46
987.080103359173,210,10559109574,2011,2,4,46
237.632508833922,217,10559107160,2011,2,4,46
211.693548387097,197,10556103365,2011,2,4,46
0.0,95,10552108075,2011,2,4,46
0.0,123,10555106610,2011,2,4,46
0.0,185,10555103915,2011,2,4,46
0.0,106,10557109143,2011,2,4,46
195.79006772009,168,10552104280,2011,2,4,46
141.701556629093,232,10553101330,2011,2,4,46
441.055718475073,190,10558102235,2011,2,4,46
0.0,135,10556110030,2011,2,4,46
0.0,52,10557110758,2011,2,4,46
0.0,134,10554101327,2011,2,4,46
306.19335347432,171,10554108620,2011,2,4,46
0.0,114,10554110947,2011,2,4,46
0.0,94,10555107912,2011,2,4,46
145.70281124498,293,10556101320,2011,2,4,46
309.729241877256,266,10553108561,2011,2,4,46
504.731861198738,189,10554106331,2011,2,4,46
145.284178187404,174,10559106948,2011,2,4,46
0.0,357,10552108752,2011,2,4,46
152.383177570093,236,10554101560,2011,2,4,46
0.0,342,10556109658,2011,2,4,46
0.0,347,10559100268,2011,2,4,46
0.0,132,10554104974,2011,2,4,46
0.0,153,10554105046,2011,2,4,46
0.0,31,10559108930,2011,2,4,46
0.0,115,10554103122,2011,2,4,46
3721.51898734177,220,10559104645,2011,2,4,46
0.0,53,10554105913,2011,2,4,46
201.513260530421,180,10556103617,2011,2,4,46
299.768518518519,331,10557109516,2011,2,4,46
0.0,5,10559104154,2011,2,4,46
86.9588455371459,251,10559110228,2011,2,4,46
0.0,140,10556106049,2011,2,4,46
0.0,73,10552109922,2011,2,4,46
0.0,76,10555101469,2011,2,4,46
3406.77966101695,194,10555108274,2011,2,4,46
0.0,55,10558101537,2011,2,4,46
0.0,36,10558109544,2011,2,4,46
0.0,255,10558108716,2011,2,4,46
1152.0,222,10557101252,2011,2,4,46
0.0,352,10559109741,2011,2,4,46
695.352697095436,246,10556102059,2011,2,4,46
0.0,89,10556100974,2011,2,4,46
0.0,80,10554100430,2011,2,4,46
0.0,62,10557104739,2011,2,4,47
493.023255813953,212,10559107544,2011,2,4,47
0.0,78,10551102415,2011,2,4,47
0.0,152,10552105073,2011,2,4,47
136.883814640698,296,10557110061,2011,2,4,47
2497.80487804878,323,10552100341,2011,2,4,47
0.0,344,10553105044,2011,2,4,47
210.904836193448,180,10556103617,2011,2,4,47
0.0,66,10553104630,2011,2,4,47
0.0,6,10553105226,2011,2,4,47
0.0,75,10551110670,2011,2,4,47
508.575689783743,192,10551110275,2011,2,4,47
0.0,30,10557106365,2011,2,4,47
0.0,337,10553103373,2011,2,4,47
378.257042253521,324,10556108321,2011,2,4,47
0.0,140,10556106049,2011,2,4,47
0.0,173,10554110942,2011,2,4,47
291.866028708134,124,10552100050,2011,2,4,47
120.056270096463,239,10557103668,2011,2,4,47
0.0,55,10558101537,2011,2,4,47
0.0,108,10554103632,2011,2,4,47
0.0,16,10556108832,2011,2,4,47
1776.92307692308,166,10554100026,2011,2,4,47
0.0,11,10552110375,2011,2,4,47
0.0,92,10552103867,2011,2,4,47
86.5112781954887,284,10556102469,2011,2,4,47
215.05376344086,197,10556103365,2011,2,4,47
0.0,68,10554108129,2011,2,4,47
508.048192771084,240,10555104815,2011,2,4,47
392.560240963855,295,10551100969,2011,2,4,47
201.542750929368,257,10554102135,2011,2,4,47
230.337078651685,309,10556111028,2011,2,4,47
0.0,145,10555104935,2011,2,4,47
0.0,280,10557107717,2011,2,4,47
0.0,61,10551107364,2011,2,4,47
340.958605664488,325,10553107060,2011,2,4,47
0.0,74,10554108646,2011,2,4,47
0.0,131,10551104854,2011,2,4,47
206.046141607001,243,10551109635,2011,2,4,47
0.0,101,10555104136,2011,2,4,47
106.119221411192,288,10552109311,2011,2,4,47
0.0,334,10556106036,2011,2,4,47
463.929618768328,190,10558102235,2011,2,4,47
0.0,72,10554100361,2011,2,4,47
306.148867313916,198,10554109459,2011,2,4,47
0.0,26,10558107541,2011,2,4,47
0.0,143,10555106265,2011,2,4,47
178.093306288032,303,10555107630,2011,2,4,47
0.0,125,10553110767,2011,2,4,47
0.0,39,10556109567,2011,2,4,47
0.0,370,10551106413,2011,2,4,47
510.51051051051,273,10559107741,2011,2,4,47
0.0,367,10559109211,2011,2,4,47
0.0,52,10557110758,2011,2,4,47
0.0,348,10555103512,2011,2,4,47
0.0,38,10553108269,2011,2,4,47
239.399293286219,217,10559107160,2011,2,4,47
0.0,181,10554107844,2011,2,4,47
298.028169014085,202,10553109712,2011,2,4,47
2304.65346534653,276,10553102523,2011,2,4,47
0.0,54,10554109041,2011,2,4,47
0.0,123,10555106610,2011,2,4,47
0.0,51,10557102217,2011,2,4,47
598.671875,312,10557104753,2011,2,4,47
0.0,157,10559111080,2011,2,4,47
0.0,116,10556109874,2011,2,4,47
113.003264417845,315,10556110251,2011,2,4,47
0.0,50,10557102920,2011,2,4,47
219.594320486815,259,10553108511,2011,2,4,47
2721.19815668203,163,10555106474,2011,2,4,47
64.316976127321,182,10557106510,2011,2,4,47
